# x,rho,A0_scalar,C0_scalar,M0_scalar,A0_proca,C0_proca,M0_proca,A0_proca_nr_radial,C0_proca_nr_radial,M0_proca_nr_radial,A0_scalar_sp,C0_scalar_sp,M0_scalar_sp,A2_scalar,C2_scalar,A2_proca,C2_proca
9.675636441902786373e+02,1.115907936617163365e+00,1.000000443366437786e+00,1.000002719829279796e+00,2.144925280063463197e-04,1.000000000949165635e+00,1.000000734995042384e+00,4.591890803597681079e-07,1.000000000947961709e+00,1.000000734992486207e+00,4.586066478957918314e-07,1.000000443351871882e+00,1.000002719840501042e+00,2.144855764514680386e-04,-2.200026425298619798e-13,-1.833095569369914525e-06,7.326367643654931018e-15,-7.330963852523794314e-07
9.937140129521782228e+02,1.146067610579789564e+00,1.000000462302118587e+00,1.000002726678153264e+00,2.296979405413279599e-04,1.000000001052552268e+00,1.000000735072036351e+00,5.229679688226600684e-07,1.000000001051966736e+00,1.000000735070021740e+00,5.226769952251352933e-07,1.000000462290399517e+00,1.000002726703002942e+00,2.296922240705164637e-04,-2.268341447986971953e-13,-1.802073073024589280e-06,7.694525446577472580e-15,-7.329666073687939152e-07
1.019864381714077581e+03,1.176227284542415541e+00,1.000000481256117402e+00,1.000002733409068867e+00,2.454078682135108543e-04,1.000000001165151753e+00,1.000000735155854636e+00,5.941483860156438828e-07,1.000000001164280672e+00,1.000000735153681486e+00,5.937042157635063594e-07,1.000000481257431462e+00,1.000002733419861789e+00,2.454086564335196483e-04,-2.334908591350485954e-13,-1.770895982228755109e-06,8.070088047602802093e-15,-7.328252284108992089e-07
1.046014750475977053e+03,1.206386958505041518e+00,1.000000500208149568e+00,1.000002739925076822e+00,2.616124204983647948e-04,1.000000001287310925e+00,1.000000735246747041e+00,6.732731077509204768e-07,1.000000001285816786e+00,1.000000735243981254e+00,6.724917056906552063e-07,1.000000500205307841e+00,1.000002739941246999e+00,2.616110651529690925e-04,-2.398417856080687445e-13,-1.739507916586776728e-06,8.452472750179206481e-15,-7.326718044977122070e-07
1.072165119237876524e+03,1.236546632467667717e+00,1.000000519121115428e+00,1.000002746242853346e+00,2.782916318626280929e-04,1.000000001417036266e+00,1.000000735343234970e+00,7.596484286063174247e-07,1.000000001416053275e+00,1.000000735340785596e+00,7.591214270641016261e-07,1.000000519132486332e+00,1.000002746285722610e+00,2.782978720576977506e-04,-2.459253501569128753e-13,-1.707999751704352197e-06,8.839851254617092469e-15,-7.325088436262067706e-07
1.098315487999775996e+03,1.266706306430293694e+00,1.000000537995094918e+00,1.000002752405590778e+00,2.954440136626417229e-04,1.000000001554645079e+00,1.000000735445550903e+00,8.537453844897839533e-07,1.000000001555346296e+00,1.000000735444368294e+00,8.541304583955209292e-07,1.000000537999421679e+00,1.000002752415624085e+00,2.954465486639577354e-04,-2.518034977210166385e-13,-1.676414519688637358e-06,9.232217094385735800e-15,-7.323359433759296388e-07
1.124465856761675241e+03,1.296865980392919671e+00,1.000000556777847827e+00,1.000002758299628702e+00,3.130386655633862173e-04,1.000000001705762420e+00,1.000000735557842191e+00,9.590358006316156354e-07,1.000000001704056674e+00,1.000000735555006681e+00,9.580768132412676406e-07,1.000000556788056993e+00,1.000002758324057606e+00,3.130445797324692310e-04,-2.573359893328122632e-13,-1.644743040962511026e-06,9.632140723098816257e-15,-7.321460017798079132e-07
1.150616225523574712e+03,1.327025654355545647e+00,1.000000575449111029e+00,1.000002763946673312e+00,3.310603515261594638e-04,1.000000001865543720e+00,1.000000735676524144e+00,1.073262436542249170e-06,1.000000001863354360e+00,1.000000735673338914e+00,1.072002922409378305e-06,1.000000575481174714e+00,1.000002764004388922e+00,3.310789885022579707e-04,-2.625642150522759302e-13,-1.613047548194006922e-06,1.003634902593131583e-14,-7.319451228668097105e-07
1.176766594285474184e+03,1.357185328318171846e+00,1.000000594028821688e+00,1.000002769405958114e+00,3.495164291037979780e-04,1.000000002034149071e+00,1.000000735801712226e+00,1.196859337513685793e-06,1.000000002033745172e+00,1.000000735799692508e+00,1.196621650011557216e-06,1.000000594039456292e+00,1.000002769420047732e+00,3.495228939749860033e-04,-2.675648400340213468e-13,-1.581347399950801151e-06,1.044473795502949922e-14,-7.317331023774471237e-07
1.202916963047373656e+03,1.387345002280797823e+00,1.000000612438599612e+00,1.000002774551590035e+00,3.683561645821567358e-04,1.000000002215164496e+00,1.000000735936043661e+00,1.332329474256287729e-06,1.000000002214787020e+00,1.000000735933983531e+00,1.332102372236056064e-06,1.000000612463565197e+00,1.000002774587310350e+00,3.683714059049393672e-04,-2.721944977541355676e-13,-1.549673463630625288e-06,1.085850182153206619e-14,-7.315054046525162987e-07
