# R,rho,minus_Psi2_num,Phi2_num,phi1_pg_sq_over_16,phi1_pg,h00_2_num,chi_2_num,minus_Psi0_PG,minus_Phi0_PG,minus_PhiN_SP
3.246374482709225617e+01,1.848182445831167975e+00,8.042692426993985899e-07,5.083286774700974804e-07,5.061183826669497082e-07,2.845679905166987635e-03,1.608538485398797180e-06,-1.016657354940194961e-06,2.409123421998782266e-03,2.417018252166447390e-03,2.424317319966677337e-03
3.311374323532064778e+01,1.885187284746220326e+00,7.640733786665274835e-07,4.895051245814223555e-07,4.873943167910212110e-07,2.792545267073810560e-03,1.528146757333054967e-06,-9.790102491628447109e-07,2.387172330293729772e-03,2.395003042188537101e-03,2.402443774827294105e-03
3.376376910505564410e+01,1.922193687062990985e+00,7.254932561197909718e-07,4.711236100630528864e-07,4.691090421143934032e-07,2.739661415910786286e-03,1.450986512239581944e-06,-9.422472201261057729e-07,2.365255230999174785e-03,2.373018729529996484e-03,2.380595036311031979e-03
3.441382192618448954e+01,1.959201623740423726e+00,6.885027074674410913e-07,4.531911208299398058e-07,4.512695540259965665e-07,2.687063985917705067e-03,1.377005414934882183e-06,-9.063822416598796116e-07,2.343385154180532837e-03,2.351078533980865970e-03,2.358784112931050850e-03
3.506390117415498509e+01,1.996211064915414779e+00,6.530717181639413699e-07,4.357131731715087110e-07,4.338813861992146482e-07,2.634786932407900528e-03,1.306143436327882740e-06,-8.714263463430174221e-07,2.321574558329264626e-03,2.329195105987391656e-03,2.337024725631515424e-03
3.571400631178339324e+01,2.033221980005739393e+00,6.191671998367551111e-07,4.186938823269079181e-07,4.169486796636535009e-07,2.582862534982931658e-03,1.238334399673510222e-06,-8.373877646538158362e-07,2.299835332308486358e-03,2.307380527440283657e-03,2.315329370701128299e-03
3.636413679100318319e+01,2.070234337809607972e+00,5.867537480085723706e-07,4.021360339715480966e-07,4.004742535644829867e-07,2.531321405320100405e-03,1.173507496017144741e-06,-8.042720679430961931e-07,2.278178798797270144e-03,2.285646314042044658e-03,2.293708487661830393e-03
3.701429205455105631e+01,2.107248106601652182e+00,5.557933155323629970e-07,3.860411570060490289e-07,3.844596770798643899e-07,2.480192499238280911e-03,1.111586631064725994e-06,-7.720823140120980579e-07,2.256615719127663677e-03,2.264003419146121132e-03,2.272172880272077273e-03
3.766447153758744548e+01,2.144263254225182713e+00,5.262459882192024874e-07,3.704095966330403531e-07,3.689053420021428115e-07,2.429503132748399036e-03,1.052491976438404975e-06,-7.408191932660807062e-07,2.235156299409457592e-03,2.242462238973175204e-03,2.250732825718318019e-03
3.831467466924919307e+01,2.181279748180581901e+00,4.980707061369438193e-07,3.552405878243004443e-07,3.538105355234124142e-07,2.379279001793316133e-03,9.961414122738876387e-07,-7.104811756486008885e-07,2.213810197842003280e-03,2.221032619091012350e-03,2.229398079827285464e-03
3.896490087413252468e+01,2.218297555709733970e+00,4.712247986529347066e-07,3.405323286529027567e-07,3.391735128024768108e-07,2.329544205384312654e-03,9.424495973058694132e-07,-6.810646573058055134e-07,2.192586533109108782e-03,2.199723862065350311e-03,2.208177883356731482e-03
3.961514957370492596e+01,2.255316643876399407e+00,4.456647223720485926e-07,3.262820527086927864e-07,3.249915689274715608e-07,2.280321271847356342e-03,8.913294447440971852e-07,-6.525641054173855728e-07,2.171493893758980054e-03,2.178544736177068231e-03,2.187080969281167582e-03
4.026542018764500597e+01,2.292336979642497941e+00,4.213467241142784814e-07,3.124861007199144796e-07,3.112611099241745096e-07,2.231631187895256191e-03,8.426934482285569628e-07,-6.249722014398289591e-07,2.150540348474949681e-03,2.157503485108569485e-03,2.166119407682764054e-03
4.091571213510991356e+01,2.329358529940263267e+00,3.982262809148822899e-07,2.991399909404503390e-07,2.979777224961488281e-07,2.183493430248504685e-03,7.964525618297645798e-07,-5.982799818809006779e-07,2.129733457137794606e-03,2.136607838499449130e-03,2.145298929995164555e-03
4.156602483593001551e+01,2.366381261740253983e+00,3.762587736180506709e-07,2.862384877320925003e-07,2.851362422186693878e-07,2.135925999537135241e-03,7.525175472361013418e-07,-5.724769754641850006e-07,2.109080282594821831e-03,2.115865023286311875e-03,2.124625481727705247e-03
4.221635771173122720e+01,2.403405142115250914e+00,3.554000786674125015e-07,2.737756685009916285e-07,2.727308199419756401e-07,2.088945456222256192e-03,7.108001573348250030e-07,-5.475513370019832570e-07,2.088587403046071600e-03,2.095281775725710283e-03,2.104105795903287064e-03
4.286671018698545765e+01,2.440430138300060392e+00,3.356059541003353006e-07,2.617449886256123955e-07,2.607549861924472986e-07,2.042566958285372061e-03,6.712119082006706011e-07,-5.234899772512247911e-07,2.068260924962705971e-03,2.074864354019712032e-03,2.083746148635758685e-03
4.351708168999008564e+01,2.477456217747274092e+00,3.168326335519378728e-07,2.501393439898226786e-07,2.492017133923440215e-07,1.996804300445465408e-03,6.336652671038757456e-07,-5.002786879796453573e-07,2.048106496462309689e-03,2.054618551460385412e-03,2.063552370807659065e-03
